Engine Name	Listing Title	Meta Title	URL Slug	Compatible Models	Distinguishing Fact	Application FAQ	Used Price (£)	Recon Price (£)	SKU	Price Basis															
BMW B37	Reconditioned BMW B37 Engine — X1 F48 (sDrive16d) SUV 2015-2022	B37 F48 sDrive16d Recon	b37/bmw-x1-f48-sdrive16d-suv-2015-recon	X1 SUV (F48) 2015-2022 — sDrive16d (116 hp)	Transverse-mounted B37C15U0 for the first-generation UKL-platform X1 — the compact SUV application.	Will an X1 B37 fit my MINI Countryman? — Possibly, as both use the UKL platform, but confirm engine code and ECU compatibility before purchase.	—	£3,105	B37-RECON-F48-SDRIVE16D-SUV	Group 4 base £2,700 × 1.15 = £3,105 (high output)			
BMW B37	Used BMW B37 Engine — X1 F48 (sDrive18d) SUV 2015-2022	B37 F48 sDrive18d Used	b37/bmw-x1-f48-sdrive18d-suv-2015	X1 SUV (F48) 2015-2022 — sDrive18d (116 hp)	Transverse-mounted B37C15U0 for the first-generation UKL-platform X1 — the compact SUV application.	Will an X1 B37 fit my MINI Countryman? — Possibly, as both use the UKL platform, but confirm engine code and ECU compatibility before purchase.	£2,185	£3,105	B37-USED-F48-SDRIVE18D-SUV	Group 4 base £1,900 × 1.15 = £2,185 (high output)			
BMW B37	Reconditioned BMW B37 Engine — X1 F48 (sDrive18d) SUV 2015-2022	B37 F48 sDrive18d Recon	b37/bmw-x1-f48-sdrive18d-suv-2015-recon	X1 SUV (F48) 2015-2022 — sDrive18d (116 hp)	Transverse-mounted B37C15U0 for the first-generation UKL-platform X1 — the compact SUV application.	Will an X1 B37 fit my MINI Countryman? — Possibly, as both use the UKL platform, but confirm engine code and ECU compatibility before purchase.	—	£3,105	B37-RECON-F48-SDRIVE18D-SUV	Group 4 base £2,700 × 1.15 = £3,105 (high output)			
MW B38	Used BMW B38 Engine — 1 Series F20 (116i) Hatchback 2015-2019	B38 F20 116i Used	b38/bmw-1-series-f20-116i-hatchback-2015	1 Series Hatchback (F20) 2015-2019 — 116i (109 hp)	Longitudinal B38 in 1 Series (F20/F21) and 2 Series (F22/F23/F44) and 3 Series (F30 LCI), replacing N13 from 2015.	Does the F30 318i use the same B38 as the F20 118i? — Yes, both use the B38A15 architecture with longitudinal mounting; output varies by tune (116i 109hp, 118i 136hp, 318i 136hp). Verify by VIN.	£1,705	£2,340	B38-USED-F20-116I-HATCH	Group 1 base £1,895 × 0.90 = £1,705 (low output)			
BMW B38	Reconditioned BMW B38 Engine — 1 Series F20 (116i) Hatchback 2015-2019	B38 F20 116i Recon	b38/bmw-1-series-f20-116i-hatchback-2015-recon	1 Series Hatchback (F20) 2015-2019 — 116i (109 hp)	Longitudinal B38 in 1 Series (F20/F21) and 2 Series (F22/F23/F44) and 3 Series (F30 LCI), replacing N13 from 2015.	Does the F30 318i use the same B38 as the F20 118i? — Yes, both use the B38A15 architecture with longitudinal mounting; output varies by tune (116i 109hp, 118i 136hp, 318i 136hp). Verify by VIN.	—	£2,340	B38-RECON-F20-116I-HATCH	Group 1 base £2,600 × 0.90 = £2,340 (low output)			
BMW B38	Used BMW B38 Engine — 1 Series F20 (118i) Hatchback 2015-2019	B38 F20 118i Used	b38/bmw-1-series-f20-118i-hatchback-2015	1 Series Hatchback (F20) 2015-2019 — 118i (136 hp)	Longitudinal B38 in 1 Series (F20/F21) and 2 Series (F22/F23/F44) and 3 Series (F30 LCI), replacing N13 from 2015.	Does the F30 318i use the same B38 as the F20 118i? — Yes, both use the B38A15 architecture with longitudinal mounting; output varies by tune (116i 109hp, 118i 136hp, 318i 136hp). Verify by VIN.	£1,705	£2,340	B38-USED-F20-118I-HATCH	Group 1 base £1,895 × 0.90 = £1,705 (low output)			
BMW B38	Reconditioned BMW B38 Engine — 1 Series F20 (118i) Hatchback 2015-2019	B38 F20 118i Recon	b38/bmw-1-series-f20-118i-hatchback-2015-recon	1 Series Hatchback (F20) 2015-2019 — 118i (136 hp)	Longitudinal B38 in 1 Series (F20/F21) and 2 Series (F22/F23/F44) and 3 Series (F30 LCI), replacing N13 from 2015.	Does the F30 318i use the same B38 as the F20 118i? — Yes, both use the B38A15 architecture with longitudinal mounting; output varies by tune (116i 109hp, 118i 136hp, 318i 136hp). Verify by VIN.	—	£2,340	B38-RECON-F20-118I-HATCH	Group 1 base £2,600 × 0.90 = £2,340 (low output)			
BMW B38	Used BMW B38 Engine — 1 Series F21 (116i) Hatchback 2015-2019	B38 F21 116i Used	b38/bmw-1-series-f21-116i-hatchback-2015	1 Series Hatchback (F21) 2015-2019 — 116i (109 hp)	Longitudinal B38 in 1 Series (F20/F21) and 2 Series (F22/F23/F44) and 3 Series (F30 LCI), replacing N13 from 2015.	Does the F30 318i use the same B38 as the F20 118i? — Yes, both use the B38A15 architecture with longitudinal mounting; output varies by tune (116i 109hp, 118i 136hp, 318i 136hp). Verify by VIN.	£1,705	£2,340	B38-USED-F21-116I-HATCH	Group 1 base £1,895 × 0.90 = £1,705 (low output)			
BMW B38	Reconditioned BMW B38 Engine — 1 Series F21 (116i) Hatchback 2015-2019	B38 F21 116i Recon	b38/bmw-1-series-f21-116i-hatchback-2015-recon	1 Series Hatchback (F21) 2015-2019 — 116i (109 hp)	Longitudinal B38 in 1 Series (F20/F21) and 2 Series (F22/F23/F44) and 3 Series (F30 LCI), replacing N13 from 2015.	Does the F30 318i use the same B38 as the F20 118i? — Yes, both use the B38A15 architecture with longitudinal mounting; output varies by tune (116i 109hp, 118i 136hp, 318i 136hp). Verify by VIN.	—	£2,340	B38-RECON-F21-116I-HATCH	Group 1 base £2,600 × 0.90 = £2,340 (low output)			
BMW B38	Used BMW B38 Engine — 1 Series F21 (118i) Hatchback 2015-2019	B38 F21 118i Used	b38/bmw-1-series-f21-118i-hatchback-2015	1 Series Hatchback (F21) 2015-2019 — 118i (136 hp)	Longitudinal B38 in 1 Series (F20/F21) and 2 Series (F22/F23/F44) and 3 Series (F30 LCI), replacing N13 from 2015.	Does the F30 318i use the same B38 as the F20 118i? — Yes, both use the B38A15 architecture with longitudinal mounting; output varies by tune (116i 109hp, 118i 136hp, 318i 136hp). Verify by VIN.	£1,705	£2,340	B38-USED-F21-118I-HATCH	Group 1 base £1,895 × 0.90 = £1,705 (low output)			
